(( 0.5335 ), -2.4546402277793 )
(( 1.2765 ), -2.1009775221007 )
(( -1.425 ), -2.2346352508653 )
(( -2.031 ), -3.7262599354679 )
(( 0.982 ), -2.4267836125928 )
(( 1.949 ), -3.7226247858091 )
(( 0.727 ), -3.6958087651294 )
(( 1.7455 ), -1.9104672644596 )
(( 2.295 ), -1.7294822135928 )
(( 2.898 ), -3.6866360685813 )
(( 1.827 ), -1.7944419384599 )
(( 2.7015 ), -2.0430807348365 )
(( 2.1695 ), -2.1517891235202 )
(( -0.949 ), -1.6414658494919 )
(( 2.273 ), -1.929691155958 )
(( -1.2255 ), -3.5116333758746 )
(( 0.952 ), -1.8526518540251 )
(( 0.1625 ), -3.749177716962 )
(( 2.0925 ), -3.7403451861929 )
(( 2.232 ), -1.9618143533032 )
(( -0.6955 ), -3.516162185567 )
(( -2.9505 ), -3.7458335251531 )
(( -0.056 ), -1.6879498974046 )
(( 2.5645 ), -3.498931727753 )
(( 1.6915 ), -2.9329282884097 )
(( -2.069 ), -3.6792800420669 )
(( -0.9105 ), -2.1721208206997 )
(( -1.9965 ), -3.7350040474573 )
(( -1.8085 ), -2.0823871367996 )
(( -0.136 ), -3.5875390464557 )
(( -0.0225 ), -1.8622787522427 )
(( 2.893 ), -3.6507965335012 )
(( 1.3415 ), -1.9562954362255 )
(( -1.5515 ), -3.7017955778347 )
(( -0.2395 ), -3.6130434462801 )
(( 2.005 ), -3.6124544076089 )
(( -1.9 ), -2.9872314745436 )
(( 1.3805 ), -1.8804329525486 )
(( -1.6385 ), -3.8845713564878 )
(( 2.056 ), -3.7295226627743 )
(( -2.9665 ), -3.7086655161127 )
(( 0.094 ), -2.6710251694207 )
(( -1.0495 ), -3.6340627209245 )
(( 0.517 ), -1.9948333119549 )
(( -1.392 ), -1.930592300233 )
(( -1.0755 ), -3.8552973746459 )
(( 2.132 ), -3.2991619687281 )
(( 1.648 ), -3.5808183669749 )
(( 0.3605 ), -2.5422144072754 )
(( 1.59 ), -3.6494091506307 )
(( 1.071 ), -3.6376796631403 )
(( 1.2555 ), -2.4753481185741 )
(( 0.3165 ), -3.5246543638716 )
(( 1.711 ), -2.4015153414432 )
(( 1.4945 ), -3.8200731846583 )
(( 1.546 ), -3.7597970567707 )
(( -2.9935 ), -3.711755682811 )
(( -1.4655 ), -3.2837747364638 )
(( -2.212 ), -1.6569687344991 )
(( -0.8075 ), -2.4979167035923 )
(( 2.093 ), -3.7092282762502 )
(( 2.819 ), -3.511543393151 )
(( -2.1505 ), -2.6426900703635 )
(( 1.6255 ), -3.514472394378 )
(( -1.8465 ), -1.7337800623299 )
(( -0.02 ), -1.7591860203851 )
(( 0.4295 ), -2.2216444545995 )
(( 0.634 ), -3.5268029297223 )
(( 0.1305 ), -3.5220981785883 )
(( 1.6915 ), -3.1782524679925 )
(( -0.0155 ), -1.9459953737455 )
(( 0.4195 ), -1.8738423830371 )
(( 2.6985 ), -2.066808159228 )
(( -2.2915 ), -1.7531612474651 )
(( 2.0145 ), -3.8940653293599 )
(( -0.534 ), -2.5110706419569 )
(( 1.0775 ), -3.599780748224 )
(( 0.602 ), -3.5891068713484 )
(( 2.4275 ), -3.6896986933457 )
(( -2.6105 ), -2.3639441682841 )
(( -0.5375 ), -2.4530008771212 )
(( -2.5885 ), -3.0974058047486 )
(( -1.391 ), -1.8099241956004 )
(( 2.784 ), -2.5385213919572 )
(( 2.9055 ), -3.6416656607979 )
(( -2.207 ), -1.8477185535112 )
(( -1.1055 ), -3.8295012445337 )
(( 0.156 ), -3.6943375997081 )
(( 2.569 ), -3.5514365524153 )
(( 1.9485 ), -3.7891389210125 )
(( 1.5565 ), -3.7079924247506 )
(( 2.9065 ), -3.8914303590626 )
(( 1.9715 ), -3.6477399946517 )
(( -1.039 ), -3.5896071021435 )
(( 0.972 ), -2.3620440196746 )
(( 0.449 ), -2.0676317671988 )
(( 2.921 ), -3.6213112603092 )
(( 1.9795 ), -3.713967017383 )
(( 2.5435 ), -3.6428211579169 )
(( 2.31 ), -1.9593337784247 )
(( 0.3385 ), -3.1786029561839 )
(( 2.2885 ), -1.8570201743695 )
(( -1.3755 ), -2.0973893475077 )
(( -2.979 ), -3.6924088990707 )
(( 1.457 ), -3.2937218417944 )
(( -2.7805 ), -2.6070922086127 )
(( 0.5135 ), -1.8300516168375 )
(( 0.235 ), -3.7288960006295 )
(( 0.8745 ), -2.0457925497604 )
(( -0.9525 ), -1.8451241183642 )
(( -1.507 ), -3.686643065362 )
(( 1.2785 ), -2.0454953179933 )
(( 2.977 ), -3.6838245392547 )
(( 0.876 ), -2.1588475296108 )
(( 2.8545 ), -3.5578161609965 )
(( 0.7045 ), -3.6743195933816 )
(( 1.736 ), -1.8855427641422 )
(( 2.391 ), -3.6078136420464 )
(( 0.0875 ), -2.4999293394878 )
(( 1.034 ), -3.5781581202501 )
(( 0.3935 ), -1.7988766920722 )
(( -0.1515 ), -3.7317198224703 )
(( 1.6825 ), -3.2703369022325 )
(( 2.666 ), -1.9303761653202 )
(( -0.0275 ), -1.8714670599721 )
(( -2.565 ), -3.5772951189505 )
(( 2.366 ), -3.2280770130413 )
(( -2.3105 ), -2.0433564215449 )
